no	tempo	potencia	taxaMAC
4	47,316825378877	-10	80
3	47,337684819426	-20	60
4	47,556371020652	-10	90
5	47,562777056068	-10	70
2	47,571136747582	-12	30
1	47,606058251598	-10	40
4	47,833572536748	-10	80
5	48,036321728165	-10	90
2	48,27578923641	-15	90
1	48,278367369711	-12	90
5	48,283836170781	-10	80
4	48,289070498711	-10	70
3	48,297429893667	-15	40
4	48,548693789934	-10	80
3	48,753396154638	-15	70
5	48,762927479321	-10	50
1	48,993566805706	-12	50
4	49,020363318782	-10	90
5	49,022940987003	-10	40
3	49,041770194194	-20	60
2	49,256002696863	-15	80
5	49,285923652708	-10	90
3	49,473986216176	-15	80
4	49,494797694215	-10	50
3	49,742281995302	-20	90
1	49,760328438085	-15	70
5	49,957139972343	-10	80
4	50,001748764027	-10	50
2	50,196685763248	-15	80
5	50,22668473471	-10	80
3	50,441856338184	-15	80
4	50,467480845952	-10	70
1	50,67382383301	-20	90
5	50,685932840139	-10	80
3	50,702027009562	-12	40
5	50,913994499708	-10	70
4	50,929385015598	-10	70
2	50,939305930289	-15	70
3	51,181196534066	-15	80
5	51,205179299781	-10	50
4	51,393632648797	-10	90
1	51,437929272756	-15	60
5	51,646381606154	-10	80
2	51,670207947169	-15	70
4	51,679974522455	-10	80
5	51,879130026773	-10	60
3	51,885302104004	-15	80
3	52,12456638358	-15	80
4	52,132972486645	-10	60
1	52,148597493381	-12	50
5	52,170236605083	-10	70
3	52,383846643502	-20	60
2	52,389469911019	-15	70
5	52,615500910555	-10	80
4	52,833719028433	-10	60
5	52,848171756491	-10	90
1	52,857859525621	-12	50
3	52,882156805738	-15	30
2	53,078186635516	-12	60
4	53,095451880128	-10	70
3	53,109358629482	-15	70
5	53,327732300618	-10	60
4	53,360700336188	-10	70
1	53,55384034122	-10	30
3	53,567668530081	-20	90
5	53,590714486307	-10	70
5	53,824322570712	-10	70
3	53,83127681649	-20	50
4	53,843619670872	-10	50
1	53,848229390481	-12	50
2	54,057102875993	-15	80
5	54,083477094829	-10	60
4	54,291070835055	-10	70
1	54,293913900689	-12	60
3	54,317399391567	-15	40
5	54,534678562058	-10	70
3	54,564288838781	-15	80
4	54,768209082333	-10	60
2	54,788598240051	-15	70
5	54,797427071336	-10	70
5	55,030644379953	-10	80
1	55,234019242993	-15	70
4	55,246831621092	-10	70
5	55,476611762728	-10	80
4	55,476799262728	-10	70
3	55,503877478233	-15	80
1	55,713891785142	-15	80
5	55,719282384221	-10	60
4	55,727094801556	-10	80
2	55,737875024361	-15	80
5	55,768577687078	-10	50
3	55,971250015823	-20	50
4	56,196420571116	-10	60
5	56,218451180956	-10	80
4	56,446434804748	-10	80
3	56,449169419507	-20	60
2	56,470652097313	-15	70
1	56,674261873691	-20	90
3	56,715121379844	-15	80
5	56,723010396597	-10	60
4	56,960057058777	-10	60
4	57,196243451774	-10	90
5	57,396961323356	-10	60
2	57,404179960596	-15	80
3	57,413211321417	-20	60
4	57,428085495339	-10	80
1	57,448836042189	-15	80
4	57,662522251668	-10	80
5	57,678302512623	-10	80
3	57,892458945231	-15	70
2	58,114270153461	-12	60
5	58,125676042275	-10	70
4	58,133488636202	-10	60
4	58,372331140722	-10	90
5	58,389205330439	-10	80
1	58,403424927481	-12	50
3	58,597189547887	-15	80
4	58,647188875643	-10	60
1	58,84887566698	-15	80
2	58,857984731109	-12	60
5	58,871577874519	-10	40
3	58,874313528961	-15	80
4	59,090343252428	-10	70
4	59,314217105302	-10	90
3	59,360904885125	-15	70
4	59,585527961159	-10	90
2	59,794370929703	-15	90
1	59,81624588449	-20	90
3	59,81643338449	-15	70
4	60,033994674386	-10	90
5	60,072977841985	-10	70
4	60,286977643761	-10	80
3	60,30346235049	-20	60
1	60,306508885385	-15	30
5	60,315726549699	-10	80
4	60,55261667285	-10	80
3	60,561601816449	-15	70
2	60,564177977624	-15	70
5	60,769740599606	-10	60
4	60,803880938038	-10	90
5	61,003348873129	-10	50
1	61,037645809269	-15	70
4	61,234613540212	-10	90
2	61,264534603279	-12	50
3	61,268129323628	-20	50
5	61,275002891659	-10	50
5	61,529157449391	-10	90
4	61,728939008177	-10	70
2	61,754249968686	-12	50
1	61,763001419411	-15	70
3	61,954812964219	-20	50
4	61,993953045801	-10	70
5	62,207405423693	-10	80
1	62,219077063909	-12	50
4	62,228420680267	-10	80
3	62,246937035638	-15	40
4	62,471794419198	-10	80
5	62,68587200315	-10	60
2	62,690949063929	-15	80
3	62,700090582364	-20	50
4	62,713761984615	-10	80
1	62,718089958888	-12	60
3	62,952761397825	-20	50
4	62,956198217243	-10	70
5	63,177540938309	-10	60
4	63,406383734889	-10	60
3	63,425680679516	-15	80
5	63,634210626936	-10	60
1	63,642101251433	-15	80
2	63,647648191192	-20	90
3	63,674367087487	-15	80
4	63,689991128638	-10	60
5	64,117911321214	-10	90
3	64,130176996677	-20	90
4	64,156504560796	-10	70
5	64,374331390241	-10	70
2	64,383393062189	-15	70
4	64,5942682099	-10	80
1	64,597627597421	-15	70
3	64,608330703665	-15	80
5	64,854828901929	-10	80
4	64,861782342782	-10	80
3	65,083906360163	-20	60
1	65,107109286582	-20	90
5	65,317592610244	-10	70
2	65,320092805412	-15	80
4	65,331576851197	-10	70
5	65,563856750406	-10	80
4	65,581231626065	-10	80
3	65,586669684421	-15	40
5	65,818792544127	-10	80
4	65,83855834027	-10	80
3	66,04162023595	-20	60
4	66,278509602455	-10	60
1	66,285462770438	-15	40
5	66,288118691103	-10	70
2	66,29085316085	-15	80
3	66,324681762166	-15	80
1	66,542898816766	-12	60
5	66,760335173427	-10	70
4	66,793538054876	-10	60
3	67,006912156604	-20	90
2	67,009958466801	-15	70
4	67,037692930588	-10	90
1	67,266457615713	-15	80
5	67,273644148371	-10	60
4	67,286300887865	-10	80
5	67,521080155908	-10	90
2	67,737813596674	-12	60
3	67,754221153711	-20	60
4	67,96439150396	-10	80
5	67,972203649771	-10	40
3	68,006345055121	-15	70
1	68,194671655192	-15	80
4	68,200843308384	-10	90
5	68,434811069279	-10	60
2	68,464497271561	-15	70
3	68,477155043038	-20	50
4	68,707950028103	-10	80
5	68,710449671561	-10	50
1	68,928824146027	-12	60
3	68,940543117059	-20	100
5	68,950542165095	-10	80
5	69,183837888369	-10	90
2	69,395134260879	-15	70
4	69,419399541053	-10	70
3	69,419587041053	-15	80
1	69,64160176237	-15	80
5	69,654960513339	-10	70
4	69,899428374357	-10	60
5	69,90927143482	-10	90
3	70,117958706696	-15	80
4	70,150770692159	-10	70
2	70,158112964878	-15	70
4	70,395472530853	-10	80
5	70,408518569125	-10	70
3	70,609237574106	-20	90
1	70,635174851093	-15	70
4	70,651189884664	-10	80
5	70,846439057296	-10	70
2	70,875812323408	-12	50
5	71,103327912114	-10	80
3	71,109500857904	-20	60
4	71,121609649237	-10	20
4	71,371623734009	-10	90
1	71,558670083059	-20	90
2	71,568279225241	-15	70
5	71,572341513097	-10	70
3	71,810793897769	-20	90
4	71,818606089896	-10	70
5	72,045104944978	-10	30
4	72,280353838035	-10	70
5	72,292697135606	-10	70
3	72,300432150799	-20	60
2	72,514899562823	-20	90
4	72,534274359907	-10	60
1	72,567242990125	-20	90
4	72,770226267275	-10	90
5	72,779678873228	-10	30
3	72,80264859209	-15	30
5	73,0338333854	-10	80
3	73,250489606951	-15	80
4	73,272129744572	-10	60
5	73,275722762431	-10	60
2	73,474879020247	-20	90
5	73,513627795953	-10	90
1	73,523081878602	-20	90
4	73,722237086725	-10	60
3	73,729893470609	-15	80
5	73,756610916996	-10	80
2	74,195078468064	-15	70
5	74,199062799994	-10	70
4	74,213203353583	-10	60
3	74,43493659148	-20	50
5	74,440405180174	-10	90
1	74,449467791339	-15	30
4	74,466108113472	-10	70
1	74,696544526517	-12	60
3	74,71612308808	-15	70
5	74,918871632701	-10	60
2	74,951135667979	-12	60
4	74,953636770807	-10	70
5	74,961917027992	-10	90
1	75,162745365127	-10	40
3	75,169120381837	-15	70
5	75,400462977027	-10	60
4	75,414368939608	-10	60
2	75,430773608157	-12	60
3	75,645633574886	-20	60
5	75,664226877848	-10	80
4	75,680007954954	-10	70
3	75,913460696579	-20	60
1	75,928303906455	-12	70
4	76,114959246988	-10	80
5	76,158082965467	-10	60
4	76,354973643594	-10	80
2	76,361223815286	-15	90
5	76,387316397451	-10	80
4	76,601003658741	-10	70
1	76,614519200202	-12	60
4	76,646706163412	-10	80
5	76,872735895741	-10	60
4	77,081501210863	-10	80
2	77,087860210835	-12	60
5	77,10782849658	-10	90
4	77,343468338959	-10	80
3	77,349953257642	-20	50
1	77,360343422244	-12	60
5	77,557701903596	-10	90
3	77,583873914556	-20	60
4	77,807013172952	-10	50
5	77,825684268186	-10	60
2	77,844979546407	-15	90
3	78,06038705434	-15	80
4	78,06976149128	-10	80
1	78,079605397118	-12	60
3	78,303213957508	-15	80
5	78,331181264457	-10	90
4	78,518150054485	-10	40
5	78,77152337975	-10	70
3	78,777148895594	-20	60
2	78,80480332969	-15	80
4	78,807460634861	-10	70
1	78,995835134643	-15	80
5	79,046692989607	-10	70
3	79,238115165532	-15	30
5	79,276160785129	-10	60
4	79,478988869203	-10	60
5	79,518128175093	-10	90
3	79,530473622358	-15	70
1	79,715800198929	-15	70
2	79,741502200966	-20	90
4	79,770721331431	-10	50
5	79,960502155432	-10	60
4	79,995735890639	-10	40
2	80,216609379136	-15	40
5	80,232624799141	-10	70
3	80,247079289112	-15	70
3	80,675935899487	-20	90
1	80,679998417896	-15	70
5	80,686326462358	-10	80
4	80,73077892491	-10	80
2	80,918606665815	-12	50
5	80,938918495804	-10	60
3	80,961136463813	-15	40
4	81,175573932271	-10	80
5	81,180885856444	-10	80
3	81,404416600927	-20	90
1	81,438635155871	-15	70
4	81,449415846534	-10	70
5	81,635290372386	-10	80
2	81,644196198694	-15	80
3	81,670399514234	-20	60
5	81,897335306922	-10	70
4	81,913195061095	-10	50
3	82,128834845104	-20	60
5	82,131803116868	-10	90
1	82,148053347814	-12	60
2	82,170628922364	-15	70
3	82,395568166188	-20	90
4	82,401973774128	-10	70
5	82,646674406932	-10	90
4	82,838487344382	-10	80
2	82,856533193504	-12	60
3	83,075767367421	-15	70
5	83,090298212651	-10	60
1	83,093814153252	-15	80
4	83,096392333689	-10	90
4	83,331250320886	-10	60
3	83,555561787039	-12	40
4	83,568374152786	-10	80
2	83,58462287172	-12	60
5	83,595092077155	-10	60
1	83,818076047393	-15	70
4	83,840888041166	-10	90
3	83,852217123455	-15	100
4	84,081839962276	-10	70
1	84,306854769382	-15	70
5	84,3218537052	-10	70
3	84,331416843667	-15	70
4	84,523900696356	-10	70
2	84,551476953205	-15	90
5	84,570227080675	-10	90
5	84,799772971758	-10	90
4	85,01056997535	-10	60
3	85,025648340593	-15	80
4	85,260740347614	-10	70
1	85,267928014314	-20	90
5	85,271989618508	-10	20
5	85,516066268914	-10	70
4	85,529660624474	-10	90
2	85,729206993919	-20	100
4	85,759987603496	-10	70
5	85,766158481256	-10	80
3	85,976799618752	-15	70
4	85,99922079465	-10	70
5	86,1955639079	-10	80
1	86,206063818906	-20	90
3	86,248376639069	-20	60
2	86,436047081968	-15	50
4	86,438547067974	-10	70
4	86,679342721262	-10	90
5	86,701920203049	-10	70
4	86,72621698362	-10	80
3	86,922482076778	-15	30
5	86,956074940974	-10	80
1	86,966153752312	-15	60
2	87,176089500636	-15	70
4	87,190777274444	-10	80
5	87,20874485157	-10	80
3	87,422198529314	-20	90
2	87,646274768568	-15	70
4	87,652993915134	-10	60
5	87,680102001477	-10	70
1	87,904445002282	-15	80
3	87,910742949871	-15	70
5	87,921522776725	-10	60
4	87,925429867103	-10	70
4	88,158959717944	-10	80
3	88,369756042636	-12	40
5	88,38436445836	-10	60
4	88,599379745722	-10	70
2	88,608129273231	-15	70
5	88,625941406556	-10	80
1	88,630972501907	-15	80
5	88,890876913568	-10	80
3	89,078861645294	-15	90
4	89,084017877181	-10	40
2	89,315829196243	-12	60
1	89,334735353288	-12	50
4	89,352078726699	-10	90
3	89,568109276761	-15	80
4	89,590452477145	-10	70
3	89,836405070351	-20	90
5	89,839763092693	-10	70
1	89,844920148979	-12	50
4	89,851248036884	-10	80
3	90,089075758195	-15	70
2	90,275886782667	-15	90
3	90,331043341348	-20	90
4	90,524416879327	-10	70
5	90,554572278058	-10	80
1	90,759509317911	-15	80
3	90,765446814812	-20	60
4	90,787321384912	-10	80
4	91,030851354177	-10	80
2	91,052021423723	-15	70
3	91,257038171755	-20	100
5	91,260897197169	-10	70
4	91,285709280271	-10	90
1	91,476583758155	-12	60
5	91,529941429135	-10	60
4	91,735113541611	-10	70
2	91,753471847341	-15	70
4	91,969737365186	-10	90
5	91,991064559277	-10	50
3	92,000440827014	-15	70
1	92,206158149564	-15	80
4	92,253032430817	-10	50
3	92,44281324386	-15	80
5	92,472422048254	-10	70
4	92,483515686565	-10	70
2	92,676577651723	-15	80
1	92,916201384604	-12	50
5	92,927685771035	-10	80
4	92,946044764884	-10	60
3	93,15676264753	-20	90
5	93,399042661141	-10	60
4	93,40560512884	-10	90
3	93,642572731575	-15	70
2	93,654681322058	-15	80
5	93,663118755269	-10	90
4	93,689447003012	-10	80
1	93,876337096559	-15	90
5	93,921413777437	-10	90
4	94,135726226109	-10	60
2	94,144475208393	-12	60
3	94,158461096912	-15	70
5	94,37800585269	-10	60
4	94,383787405651	-10	80
3	94,61411470362	-15	70
5	94,633410375949	-10	90
2	94,842488507976	-12	60
4	94,853066157423	-10	60
1	94,86264451471	-12	60
5	94,869440584113	-10	90
5	95,327126353122	-10	60
1	95,32970471621	-12	60
3	95,347829907614	-15	70
4	95,3593918036	-10	40
5	95,577765330601	-10	70
2	95,584405344667	-12	50
4	95,800546009875	-10	70
1	95,81996778828	-12	60
4	96,049591527266	-10	70
5	96,052794293331	-10	70
5	96,2924961597	-10	80
3	96,296246799133	-15	70
